VariantName	TaskID	DocID	SourceRef	RuleApplied	ConfidenceCode
Empty trash can (28 qt.), replace liner (or see sq. ft. rate - next section)	TSK-085	D001	aw_L17-18	trim/clean	HIGH
Empty trash can, replace liner (28 quart)	TSK-086	D001	aw_L19	trim/clean	HIGH
Empty and damp wipe ash tray	TSK-084	D001	aw_L20	trim/clean	HIGH
Sanitize/polish drinking fountain	TSK-090	D001	aw_L21	trim/clean	HIGH
Dust/vacuum blinds 4' by 3'	TSK-083	D001	aw_L22	trim/clean	HIGH
Clean blinds with ultra-sonic machine 4' x 3' (remove, clean, dry, re-hang)	TSK-077	D001	aw_L23-24	trim/clean	HIGH
Dust blind slats by hand with microfiber cloth 4' x 3'	TSK-082	D001	aw_L25	trim/clean	HIGH
Vacuum blind slats using backpack vacuum with brush attachment 4' x 3'	TSK-091	D001	aw_L26-27	trim/clean	HIGH
Clean refrigerator - damp wipe outside-spot clean inside	TSK-080	D001	aw_L28	trim/clean	HIGH
Clean refrigerator - remove items and deep clean	TSK-081	D001	aw_L29	trim/clean	HIGH
Clean microwave - spot clean inside	TSK-079	D001	aw_L30	trim/clean	HIGH
Clean microwave - deep clean outside/inside	TSK-078	D001	aw_L31	trim/clean	HIGH
Lunch room chairs - damp wipe seat and back	TSK-087	D001	aw_L32	trim/clean	HIGH
Lunch room table tops - apply solution with spray trigger and hand wipe	TSK-089	D001	aw_L33-34	trim/clean	HIGH
"Lunch room table tops - apply solution with 18"" applicator and squeegee clean"	TSK-088	D001	aw_L35-36	trim/clean	HIGH
Clean / dust / sanitize telephone	TSK-076	D001	aw_L37	trim/clean	HIGH
Empty trash can, replace liner (28 quart)	TSK-086	D001	aw_L41-42	trim/clean	HIGH
Remove trash from building	TSK-092	D001	aw_L43	trim/clean	HIGH
High dusting - vents, corners, lights	TSK-059	D001	aw_L47-48	trim/clean	HIGH
Low dusting - chair legs, base boards	TSK-062	D001	aw_L49-50	trim/clean	HIGH
Horizontal dusting - spot cleaning using microfiber cloth, desktops, pictures, computers	TSK-061	D001	aw_L51-53	trim/clean	HIGH
Horizontal dusting - microfiber cloth	TSK-060	D001	aw_L54-55	trim/clean	HIGH
Apply wood polish to desk, wipe with cloth	TSK-058	D001	aw_L56-57	trim/clean	HIGH
Spot clean desk top (remove coffee rings and finger prints from cleared areas using a microfiber cloth	TSK-063	D001	aw_L58-61	trim/clean	HIGH
Overheads, behind computers, behind doors, etc.	TSK-049	D001	aw_L65-66	trim/clean	HIGH
Clean toilet - wipe top/bottom	TSK-123	D001	aw_L69	trim/clean	HIGH
Clean toilet - detail clean	TSK-122	D001	aw_L70	trim/clean	HIGH
Clean sink	TSK-120	D001	aw_L71	trim/clean	HIGH
Clean sink - detail clean	TSK-121	D001	aw_L72	trim/clean	HIGH
Clean urinal wipe top/bottom	TSK-125	D001	aw_L73	trim/clean	HIGH
Clean urinal - detail clean	TSK-124	D001	aw_L74	trim/clean	HIGH
Clean/disinfect shower stall	TSK-126	D001	aw_L75	trim/clean	HIGH
Restroom partition (wipe down)	TSK-127	D001	aw_L76	trim/clean	HIGH
Clean fixtures, mirrors, counter tops, empty trash, wet mop, fill supplies	TSK-119	D001	aw_L77-78	trim/clean	HIGH
Machine scrub ceramic tile restroom floor - apply solution/scrub/pick-up and rinse	TSK-129	D001	aw_L82-84	trim/clean	HIGH
Hand wash ceramic tile walls	TSK-128	D001	aw_L85	trim/clean	HIGH
Sweeping edges with house broom	TSK-152	D001	aw_L89	trim/clean	HIGH
"24"" Push broom"	TSK-149	D001	aw_L90	trim/clean	HIGH
"48"" Push broom"	TSK-150	D001	aw_L91	trim/clean	HIGH
Pickup piles of dirt with house broom and dust pan	TSK-151	D001	aw_L92-93	trim/clean	HIGH
"18"" microfiber flat mop"	TSK-052	D001	aw_L97	trim/clean	HIGH
"24"" microfiber flat mop"	TSK-054	D001	aw_L98	trim/clean	HIGH
"24"" Dust mop"	TSK-053	D001	aw_L99	trim/clean	HIGH
"36"" Dust mop"	TSK-055	D001	aw_L100	trim/clean	HIGH
"48"" Dust mop"	TSK-056	D001	aw_L101	trim/clean	HIGH
"72"" Dust mop"	TSK-057	D001	aw_L102	trim/clean	HIGH
"18"" Microfiber flat mop and charging bucket"	TSK-114	D001	aw_L106-107	trim/clean	HIGH
16-oz. mop head w/bucket wringer	TSK-113	D001	aw_L108	trim/clean	HIGH
24-oz. mop head	TSK-115	D001	aw_L109	trim/clean	HIGH
32-oz. mop head	TSK-116	D001	aw_L110	trim/clean	HIGH
Dusting by hand using microfiber cloth	TSK-007	D001	aw_L113-114	trim/clean	HIGH
